epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
114,11104.2,0.23959,0.89522,1,0.24508,0.0002542,0.0002542,0.0002542
115,11199.3,0.24137,0.89539,1,0.24468,0.0002476,0.0002476,0.0002476
116,11294.8,0.24362,0.89522,1,0.24451,0.000241,0.000241,0.000241
117,11389.8,0.23713,0.89522,1,0.24481,0.0002344,0.0002344,0.0002344
118,11485.3,0.23589,0.89539,1,0.24465,0.0002278,0.0002278,0.0002278
119,11580.4,0.23623,0.89572,1,0.24443,0.0002212,0.0002212,0.0002212
120,11676,0.23629,0.89605,1,0.24443,0.0002146,0.0002146,0.0002146
121,11771.3,0.235,0.89622,1,0.24417,0.000208,0.000208,0.000208
122,11866.3,0.22932,0.89639,1,0.24412,0.0002014,0.0002014,0.0002014
123,11961.3,0.23113,0.89639,1,0.24424,0.0001948,0.0001948,0.0001948
124,12056.7,0.23131,0.89639,1,0.24428,0.0001882,0.0001882,0.0001882
125,12151.8,0.22611,0.89705,1,0.24425,0.0001816,0.0001816,0.0001816
126,12247.2,0.22893,0.89622,1,0.24419,0.000175,0.000175,0.000175
127,12342.4,0.22544,0.89555,1,0.2442,0.0001684,0.0001684,0.0001684
128,12437.3,0.21839,0.89522,1,0.24441,0.0001618,0.0001618,0.0001618
129,12532.4,0.2194,0.89572,1,0.24434,0.0001552,0.0001552,0.0001552
130,12627.3,0.2221,0.89605,1,0.2443,0.0001486,0.0001486,0.0001486
131,12722.5,0.21935,0.89589,1,0.24453,0.000142,0.000142,0.000142
132,12817.7,0.21513,0.89572,1,0.2441,0.0001354,0.0001354,0.0001354
133,12912.7,0.21544,0.89572,1,0.2445,0.0001288,0.0001288,0.0001288
134,13007.7,0.214,0.89589,1,0.24435,0.0001222,0.0001222,0.0001222
135,13102.6,0.21587,0.89555,1,0.24414,0.0001156,0.0001156,0.0001156
136,13198,0.21484,0.89539,1,0.24467,0.000109,0.000109,0.000109
137,13293.5,0.20875,0.89472,1,0.24459,0.0001024,0.0001024,0.0001024
138,13388.6,0.2073,0.89405,1,0.24431,9.58e-05,9.58e-05,9.58e-05
139,13483.9,0.20889,0.89355,1,0.24481,8.92e-05,8.92e-05,8.92e-05
140,13578.9,0.20572,0.89339,1,0.24515,8.26e-05,8.26e-05,8.26e-05
141,13697.5,0.20304,0.89322,1,0.2449,7.6e-05,7.6e-05,7.6e-05
142,13799.7,0.20125,0.89322,1,0.24556,6.94e-05,6.94e-05,6.94e-05
143,13897.9,0.20351,0.89389,1,0.24547,6.28e-05,6.28e-05,6.28e-05
144,13997.5,0.19898,0.89372,1,0.24596,5.62e-05,5.62e-05,5.62e-05
145,14095.3,0.19527,0.89372,1,0.24619,4.96e-05,4.96e-05,4.96e-05
146,14193.4,0.19265,0.89372,1,0.24631,4.3e-05,4.3e-05,4.3e-05
147,14291.2,0.19276,0.89389,1,0.24674,3.64e-05,3.64e-05,3.64e-05
148,14389.4,0.19675,0.89372,1,0.24726,2.98e-05,2.98e-05,2.98e-05
149,14485.8,0.19394,0.89355,1,0.24734,2.32e-05,2.32e-05,2.32e-05
150,14581.8,0.18841,0.89355,1,0.24766,1.66e-05,1.66e-05,1.66e-05
